City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,kavaratti,10.5669,72.642,28.94,70,5,2.26,IN,1701019310
167,yulinshi,38.2906,109.7494,0.99,53,0,5.52,CN,1701019381
168,tolanaro,-25.0319,46.9987,26.04,73,20,8.23,MG,1701019258
169,druzhny,53.6238,27.8977,-4.86,88,100,4.65,BY,1701019450
170,road town,18.4167,-64.6167,29.02,65,75,5.14,VG,1701019192
171,ancud,-41.8697,-73.8203,15.26,73,100,1.94,CL,1701019363
172,gracias,14.5833,-88.5833,26.81,53,29,1.68,HN,1701019451
173,mabai,23.0128,104.4508,10.4,89,67,0.8,CN,1701019451
174,ushuaia,-54.8,-68.3,6.81,49,40,7.2,AR,1701019296
175,um jar al gharbiyya,13.8013,32.4078,33.48,15,47,4.47,SD,1701019452
176,souillac,-20.5167,57.5167,25.21,78,20,2.57,MU,1701019452
177,otjimbingwe,-22.35,16.1333,32.52,27,99,4.84,NA,1701019453
178,kourou,5.1552,-52.6478,29.03,66,92,3.74,GF,1701019453
179,tinajo,29.0788,-13.7081,21.49,56,40,3.6,ES,1701019453
180,lerwick,60.1545,-1.1494,6.0,75,86,7.02,GB,1701019454
181,vadso,70.0744,29.7487,-1.91,86,100,7.2,NO,1701019318
182,anna regina,7.2644,-58.5077,29.4,64,55,4.18,GY,1701019454
183,antsohihy,-14.8796,47.9875,28.1,69,72,1.4,MG,1701019454
184,tadine,-21.55,167.8833,20.79,85,41,4.67,NC,1701019455
185,alofi,-19.0595,-169.9187,24.94,94,30,2.06,NU,1701019317
186,yomju-up,39.8933,124.5981,1.1,92,100,1.79,KP,1701019455
187,varva,50.495,32.7197,-0.52,96,100,11.71,UA,1701019456
188,desaguadero,-16.5656,-69.0417,15.52,44,54,5.68,PE,1701019456
189,taoudenni,22.6783,-3.9836,23.97,13,4,3.1,ML,1701019311
190,ostersund,63.1792,14.6357,-4.75,93,100,2.57,SE,1701019457
191,karratha,-20.7377,116.8463,26.22,55,0,5.99,AU,1701019457
192,urangan,-25.3,152.9,22.79,80,88,2.55,AU,1701019457
193,nuuk,64.1835,-51.7216,0.34,74,75,14.4,GL,1701019200
194,nogliki,51.8333,143.1667,-17.03,67,3,9.39,RU,1701019364
195,nikolayevsk,50.0282,45.4595,5.66,88,75,3.89,RU,1701019458
196,oranjemund,-28.55,16.4333,18.59,76,5,8.04,NA,1701019251
197,balqash,46.8481,74.995,3.68,57,100,6.65,KZ,1701019459
198,colonia,50.9333,6.95,6.65,89,75,3.6,DE,1701019071
199,petropavlovsk-kamchatsky,53.0452,158.6483,-8.64,74,40,4.47,RU,1701019318
200,hilo,19.7297,-155.09,23.49,87,0,2.06,US,1701019314
201,san antonio de pale,-1.4014,5.6325,27.23,76,94,1.81,GQ,1701019304
202,georgetown,5.4112,100.3354,26.96,89,20,1.54,MY,1701019205
203,tual,-5.6667,132.75,28.18,73,100,1.36,ID,1701019461
204,mahibadhoo,3.7833,72.9667,28.55,72,26,3.05,MV,1701019461
205,katsuura,35.1333,140.3,10.12,83,19,1.18,JP,1701019462
206,whitehorse,60.7161,-135.0538,3.43,81,75,6.17,CA,1701019253
207,qamdo,31.1667,97.2333,-7.23,19,2,0.65,CN,1701019462
208,gorontalo,0.5412,123.0595,23.89,94,88,0.98,ID,1701019290
209,praia da vitoria,38.7333,-27.0667,20.14,100,40,11.71,PT,1701019463
210,island harbour,50.724,-1.2758,11.37,94,100,4.02,GB,1701019463
211,amga,60.8953,131.9608,-30.23,97,100,2.08,RU,1701019379
212,monticello,45.3055,-93.7941,-0.82,87,100,4.12,US,1701019317
213,isangel,-19.55,169.2667,22.23,81,58,4.15,VU,1701019465
214,guerrero negro,27.9769,-114.0611,18.69,56,58,1.49,MX,1701019321
215,lazaro cardenas,17.9583,-102.2,29.36,55,10,0.71,MX,1701019357
216,si satchanalai,17.5169,99.7598,24.39,80,28,1.3,TH,1701019465
217,nadym,65.5333,72.5167,-12.19,96,98,3.1,RU,1701019305
218,namdrik,5.5994,168.1028,28.3,81,87,8.15,MH,1701019466
219,ripley,53.0333,-1.4,4.99,94,100,0.89,GB,1701019466
220,chinde,26.8418,88.0763,13.12,73,67,2.16,NP,1701019467
221,port alfred,-33.5906,26.891,22.32,91,21,0.89,ZA,1701019352
222,huarmey,-10.0681,-78.1522,22.99,71,74,4.46,PE,1701019468
223,kapuskasing,49.4169,-82.4331,-0.95,86,100,5.66,CA,1701019350
224,mount isa,-20.7333,139.5,21.87,88,75,3.6,AU,1701019261
225,nema,57.5067,50.5011,0.02,98,100,4.93,RU,1701019469
226,pacific grove,36.6177,-121.9166,13.06,54,0,2.06,US,1701019469
227,hargeysa,9.56,44.065,18.18,68,53,4.01,SO,1701019469
228,mayang imphal,24.6167,93.8833,12.12,87,1,0.78,IN,1701019470
229,tabriz,38.08,46.2919,10.7,54,20,7.2,IR,1701019470
230,poltavka,54.3663,71.7632,0.42,97,97,2.37,RU,1701019470
231,geraldton,-28.7667,114.6,20.23,77,100,0.0,AU,1701019471
232,astaneh-ye ashrafiyeh,37.2596,49.9444,24.96,29,0,4.55,IR,1701019471
233,el nido,11.1858,119.3956,27.2,81,58,2.49,PH,1701019405
234,mora,11.0461,14.1401,31.41,19,45,2.59,CM,1701019472
235,mokhsogollokh,61.4681,128.9203,-28.57,93,63,3.16,RU,1701019472
236,rantoul,40.3084,-88.1559,1.68,98,100,2.57,US,1701019472
237,kabinda,-6.1333,24.4833,20.19,98,100,1.48,CD,1701019472
238,bathsheba,13.2167,-59.5167,29.34,70,40,9.26,BB,1701019473
239,bereket,39.2446,55.5154,17.42,22,21,3.4,TM,1701019473
240,castillos,-34.1667,-53.8333,23.54,56,3,4.74,UY,1701019473
241,katima mulilo,-17.5,24.2667,29.86,34,75,2.15,NA,1701019474
242,taguatinga,-12.3857,-46.5711,35.83,28,46,1.96,BR,1701019474
243,klyuchi,52.2667,79.1667,0.33,49,52,1.89,RU,1701019293
244,lata,40.1629,-8.3327,14.34,87,100,1.21,PT,1701019361
245,limassol,34.675,33.0333,18.04,72,0,9.77,CY,1701019475
246,ecka,45.3186,20.4428,2.01,59,72,7.43,RS,1701019475
247,radzyn podlaski,51.7833,22.6167,-2.02,83,53,7.63,PL,1701019475
248,aroma,15.8167,36.1333,32.18,20,87,4.38,SD,1701019476
249,callaway,30.153,-85.5699,16.11,96,75,3.6,US,1701019476
250,baotou,40.6522,109.8222,-0.94,59,1,3.71,CN,1701019477
251,tangalle,6.024,80.7911,25.42,90,37,4.02,LK,1701019228
252,gao,16.6362,1.637,29.91,10,69,2.89,ML,1701019477
253,kendari,-3.945,122.4989,25.25,88,99,1.07,ID,1701019478
254,vila velha,-20.3297,-40.2925,25.97,73,75,6.17,BR,1701019390
255,tura,25.5198,90.2201,17.88,70,19,1.56,IN,1701019251
256,santiago de cuba,20.0247,-75.8219,30.06,62,20,2.57,CU,1701019278
257,colares,38.7992,-9.4469,16.85,74,75,6.26,PT,1701019323
258,massawa,15.6097,39.45,29.38,64,5,1.41,ER,1701019479
259,aguas vermelhas,-15.7472,-41.46,30.35,39,70,3.36,BR,1701019480
260,ghadamis,30.1337,9.5007,17.11,35,99,4.13,LY,1701019480
261,masjed soleyman,31.9364,49.3039,20.21,51,14,0.99,IR,1701019480
262,east london,-33.0153,27.9116,22.52,94,75,5.66,ZA,1701019313
263,tsiombe,-25.3,45.4833,24.83,79,0,1.83,MG,1701019259
264,alice springs,-23.7,133.8833,17.75,94,100,2.57,AU,1701019181
265,coahuayana de hidalgo,18.7,-103.6583,30.37,47,24,0.97,MX,1701019481
266,mount pearl,47.5166,-52.7813,1.75,74,100,5.14,CA,1701019115
267,pangai,-19.8,-174.35,26.06,89,20,3.6,TO,1701019481
268,hasaki,35.7333,140.8333,9.05,79,100,2.69,JP,1701019326
269,jumla,29.2747,82.1838,8.64,56,96,1.91,NP,1701019482
270,sirte,31.2089,16.5887,18.69,61,100,3.99,LY,1701019482
271,berwick,41.0545,-76.2333,8.62,65,85,0.89,US,1701019483
272,santiago de cao,-7.9589,-79.2392,22.07,73,75,4.12,PE,1701019319
273,birjand,32.8663,59.2211,10.26,46,0,5.14,IR,1701019483
274,kyabram,-36.3167,145.05,13.82,86,12,4.25,AU,1701019483
275,puerto colombia,10.9878,-74.9547,32.05,75,100,2.97,CO,1701019483
276,tongren,27.7172,109.1853,12.6,94,0,0.88,CN,1701019484
